Summary Title,Word Count Difference,Clear and easy to understand,Overall flow in readability,Good structure,RapidFlow Preference,Capturing key points/main ideas,Maintained context and contextually relevant information ,Was there any external information included? ,Handling technical/specialized terms ,Conciseness
"Effects of Food Provisioning on the Daily Ration and Dive Site Use of Great Hammerhead Sharks, Sphyrna mokarran",-59,-1,-1.5,-1.5,0,6,7,5,3,7
Hammerhead Fishing Mortality,2,-1,-1,-2,0,5,5,7,6,6
Lead and Mercury Biogeochemistry,116,-2,-2,-4,0,7,8,7,6,4
Model System Genetics: Organoids (Zhao),88,-2,-2,-2,0,8,6,5,6,9
Model System Genetics: Zebrafish 1,-55,-1,-1,-1,0,7,8,8,6,8
Neurobiology 3:22,202,-1,0,0,0,5,5,8,8,8
Neurobiology Lecture 19 - 24,-53,-2,-2,-3,0,7,6,6,7,6
Neurobiology Unit 3,-194,-2,-1,-2,0,6,5,8,6,7
Shortfin Mako and Great Hammerhead Genetics,254,-1,0,0,0,7,6,6,6,8
Tuberous Sclerosis Complex,-32,-1,-2,-2,0,5,7,9,5,7
